GO:0060321,acceptance of pollen
GO:0010605,negative regulation of macromolecule metabolic process
GO:0062014,negative regulation of small molecule metabolic process
GO:1900909,negative regulation of olefin metabolic process
GO:0045912,negative regulation of carbohydrate metabolic process
GO:0031538,negative regulation of anthocyanin metabolic process
GO:0009895,negative regulation of catabolic process
GO:1901420,negative regulation of response to alcohol
GO:2001021,negative regulation of response to DNA damage stimulus
GO:1901001,negative regulation of response to salt stress
GO:0048577,"negative regulation of short-day photoperiodism, flowering"
GO:2000469,negative regulation of peroxidase activity
GO:0010100,negative regulation of photomorphogenesis
GO:0009968,negative regulation of signal transduction
GO:0050777,negative regulation of immune response
GO:0048579,"negative regulation of long-day photoperiodism, flowering"
GO:0002832,negative regulation of response to biotic stimulus
GO:1903573,negative regulation of response to endoplasmic reticulum stress
GO:0032102,negative regulation of response to external stimulus
GO:0080148,negative regulation of response to water deprivation
GO:0031348,negative regulation of defense response
GO:0009968,negative regulation of signal transduction
GO:1902289,negative regulation of defense response to oomycetes
GO:0050687,negative regulation of defense response to virus
GO:1900425,negative regulation of defense response to bacterium
GO:1900366,negative regulation of defense response to insect
GO:0010113,negative regulation of systemic acquired resistance
GO:0043609,regulation of carbon utilization
GO:0040012,regulation of locomotion
GO:0051239,regulation of multicellular organismal process
GO:0023051,regulation of signaling
GO:0019222,regulation of metabolic process
GO:0040008,regulation of growth
GO:0030155,regulation of cell adhesion
GO:0048583,regulation of response to stimulus
GO:0006808,regulation of nitrogen utilization
GO:0032879,regulation of localization
GO:0042752,regulation of circadian rhythm
GO:0043900,regulation of multi-organism process
GO:0050793,regulation of developmental process
GO:0044087,regulation of cellular component biogenesis
GO:0050794,regulation of cellular process
GO:0002682,regulation of immune system process
GO:2000241,regulation of reproductive process
GO:0048519,negative regulation of biological process
GO:0048518,positive regulation of biological process
GO:0001505,regulation of neurotransmitter levels
GO:0032204,regulation of telomere maintenance
GO:0097035,regulation of membrane lipid distribution
GO:0043487,regulation of RNA stability
GO:0008360,regulation of cell shape
GO:0090066,regulation of anatomical structure size
GO:0031647,regulation of protein stability
GO:0042391,regulation of membrane potential
GO:0010817,regulation of hormone levels
GO:0006450,regulation of translational fidelity
GO:0050878,regulation of body fluid levels
GO:0051235,maintenance of location
GO:0042592,homeostatic process
GO:0051098,regulation of binding
GO:0032409,regulation of transporter activity
GO:0044093,positive regulation of molecular function
GO:0044092,negative regulation of molecular function
GO:0050790,regulation of catalytic activity
GO:0040030,"regulation of molecular function, epigenetic"
GO:0051090,regulation of DNA-binding transcription factor activity
GO:0038198,auxin receptor activity
GO:0001653,peptide receptor activity
GO:0009881,photoreceptor activity
GO:0004888,transmembrane signaling receptor activity
GO:0030594,neurotransmitter receptor activity
GO:0003707,steroid hormone receptor activity
GO:0038199,ethylene receptor activity
GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0001135,RNA polymerase II transcription regulator recruiting activity
GO:0003714,transcription corepressor activity
GO:0003713,transcription coactivator activity
GO:0005088,Ras guanyl-nucleotide exchange factor activity
GO:0005086,ARF guanyl-nucleotide exchange factor activity
GO:0048018,receptor ligand activity
GO:0055106,ubiquitin-protein transferase regulator activity
GO:0019208,phosphatase regulator activity
GO:0019207,kinase regulator activity
GO:0004857,enzyme inhibitor activity
GO:0008047,enzyme activator activity
GO:0042349,guiding stereospecific synthesis activity
GO:0061134,peptidase regulator activity
GO:0060589,nucleoside-triphosphatase regulator activity
GO:0030337,DNA polymerase processivity factor activity
GO:0018271,biotin-protein ligase activity
GO:0008318,protein prenyltransferase activity
GO:0016755,"transferase activity, transferring amino-acyl groups"
GO:0004149,dihydrolipoyllysine-residue succinyltransferase activity
GO:0032452,histone demethylase activity
GO:0008276,protein methyltransferase activity
GO:0008233,peptidase activity
GO:0004721,phosphoprotein phosphatase activity
GO:0004742,dihydrolipoyllysine-residue acetyltransferase activity
GO:0031543,peptidyl-proline dioxygenase activity
GO:0019787,ubiquitin-like protein transferase activity
GO:0008568,microtubule-severing ATPase activity
GO:0019707,protein-cysteine S-acyltransferase activity
GO:0030158,protein xylosyltransferase activity
GO:0003755,peptidyl-prolyl cis-trans isomerase activity
GO:0003923,GPI-anchor transamidase activity
GO:0046922,peptide-O-fucosyltransferase activity
GO:0008474,palmitoyl-(protein) hydrolase activity
GO:0140103,"catalytic activity, acting on a glycoprotein"
GO:0016262,protein N-acetylglucosaminyltransferase activity
GO:0004672,protein kinase activity
GO:0101005,ubiquitinyl hydrolase activity
GO:0003756,protein disulfide isomerase activity
GO:0033558,protein deacetylase activity
GO:0101005,ubiquitinyl hydrolase activity
GO:0051747,cytosine C-5 DNA demethylase activity
GO:0016822,"hydrolase activity, acting on acid carbon-carbon bonds"
GO:0016824,"hydrolase activity, acting on acid halide bonds"
GO:0098599,palmitoyl hydrolase activity
GO:0017171,serine hydrolase activity
GO:0016788,"hydrolase activity, acting on ester bonds"
GO:0016798,"hydrolase activity, acting on glycosyl bonds"
GO:0008233,peptidase activity
GO:0046508,"hydrolase activity, acting on carbon-sulfur bonds"
GO:0016801,"hydrolase activity, acting on ether bonds"
GO:0016817,"hydrolase activity, acting on acid anhydrides"
GO:0019213,deacetylase activity
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GO:0003923,GPI-anchor transamidase activity
GO:0019239,deaminase activity
GO:0051002,"ligase activity, forming nitrogen-metal bonds"
GO:0016886,"ligase activity, forming phosphoric ester bonds"
GO:0016875,"ligase activity, forming carbon-oxygen bonds"
GO:0016885,"ligase activity, forming carbon-carbon bonds"
GO:0016877,"ligase activity, forming carbon-sulfur bonds"
GO:0016879,"ligase activity, forming carbon-nitrogen bonds"
GO:0003796,lysozyme activity
GO:0016872,intramolecular lyase activity
GO:0016859,cis-trans isomerase activity
GO:0016854,racemase and epimerase activity
GO:0003916,DNA topoisomerase activity
GO:0016860,intramolecular oxidoreductase activity
GO:0016866,intramolecular transferase activity
GO:0016746,"transferase activity, transferring acyl groups"
GO:0016757,"transferase activity, transferring glycosyl groups"
GO:0019776,Atg8 ligase activity
GO:0016772,"transferase activity, transferring phosphorus-containing groups"
GO:0016744,"transferase activity, transferring aldehyde or ketonic groups"
GO:0016769,"transferase activity, transferring nitrogenous groups"
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0061599,molybdopterin molybdotransferase activity
GO:0019787,ubiquitin-like protein transferase activity
GO:0016741,"transferase activity, transferring one-carbon groups"
GO:0016782,"transferase activity, transferring sulfur-containing groups"
GO:0019779,Atg8 activating enzyme activity
GO:0030597,RNA glycosylase activity
GO:0003724,RNA helicase activity
GO:0140102,"catalytic activity, acting on a rRNA"
GO:0004540,ribonuclease activity
GO:0000386,second spliceosomal transesterification activity
GO:0140101,"catalytic activity, acting on a tRNA"
GO:0000384,first spliceosomal transesterification activity
GO:0008173,RNA methyltransferase activity
GO:0003963,RNA-3'-phosphate cyclase activity
GO:0008452,RNA ligase activity
GO:0097747,RNA polymerase activity
GO:0035514,DNA demethylase activity
GO:0018489,vanillate monooxygenase activity
GO:0008398,sterol 14-demethylase activity
GO:0032452,histone demethylase activity
GO:0019156,isoamylase activity
GO:0004134,4-alpha-glucanotransferase activity
GO:0003963,RNA-3'-phosphate cyclase activity
GO:0004383,guanylate cyclase activity
GO:0046423,allene-oxide cyclase activity
GO:0009976,tocopherol cyclase activity
GO:0004016,adenylate cyclase activity
GO:0016651,"oxidoreductase activity, acting on NAD(P)H"
GO:0080132,fatty acid alpha-hydroxylase activity
GO:0016695,"oxidoreductase activity, acting on hydrogen as donor"
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors"
GO:0046992,"oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond"
GO:0016661,"oxidoreductase activity, acting on other nitrogenous compounds as donors"
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors"
GO:0004497,monooxygenase activity
GO:0030611,arsenate reductase activity
GO:0016721,"oxidoreductase activity, acting on superoxide radicals as acceptor"
GO:0016675,"oxidoreductase activity, acting on a heme group of donors"
GO:0016679,"oxidoreductase activity, acting on diphenols and related substances as donors"
GO:0016701,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GO:0015039,NADPH-adrenodoxin reductase activity
GO:0046422,violaxanthin de-epoxidase activity
GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors"
GO:0051213,dioxygenase activity
GO:0016722,"oxidoreductase activity, oxidizing metal ions"
GO:0030613,"oxidoreductase activity, acting on phosphorus or arsenic in donors"
GO:0016730,"oxidoreductase activity, acting on iron-sulfur proteins as donors"
GO:0016229,steroid dehydrogenase activity
GO:0016725,"oxidoreductase activity, acting on CH or CH2 groups"
GO:0045550,geranylgeranyl reductase activity
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor"
GO:0000170,sphingosine hydroxylase activity
GO:0016645,"oxidoreductase activity, acting on the CH-NH group of donors"
GO:0010242,oxygen evolving activity
GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors"
GO:0051744,"3,8-divinyl protochlorophyllide a 8-vinyl reductase activity"
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0009055,electron transfer activity
GO:0015002,heme-copper terminal oxidase activity
GO:0004536,deoxyribonuclease activity
GO:0009008,DNA-methyltransferase activity
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003913,DNA photolyase activity
GO:0035514,DNA demethylase activity
GO:0036310,annealing helicase activity
GO:0000150,recombinase activity
GO:0003916,DNA topoisomerase activity
GO:0034061,DNA polymerase activity
GO:0019104,DNA N-glycosylase activity
GO:0003678,DNA helicase activity
GO:0004803,transposase activity
GO:0070259,tyrosyl-DNA phosphodiesterase activity
GO:0003909,DNA ligase activity
GO:0016849,phosphorus-oxygen lyase activity
GO:0016835,carbon-oxygen lyase activity
GO:0016840,carbon-nitrogen lyase activity
GO:0016830,carbon-carbon lyase activity
GO:0004325,ferrochelatase activity
GO:0016852,sirohydrochlorin cobaltochelatase activity
GO:0016846,carbon-sulfur lyase activity
GO:0016594,glycine binding
GO:0016168,chlorophyll binding
GO:0020037,heme binding
GO:0048038,quinone binding
GO:0051536,iron-sulfur cluster binding
GO:0031177,phosphopantetheine binding
GO:0050662,coenzyme binding
GO:0051192,prosthetic group binding
GO:0043295,glutathione binding
GO:0070279,vitamin B6 binding
GO:0030976,thiamine pyrophosphate binding
GO:0005496,steroid binding
GO:0046906,tetrapyrrole binding
GO:0005527,macrolide binding
GO:0001882,nucleoside binding
GO:1901265,nucleoside phosphate binding
GO:0043546,molybdopterin cofactor binding
GO:0010013,N-1-naphthylphthalamic acid binding
GO:0030975,thiamine binding
GO:0003676,nucleic acid binding
GO:0005542,folic acid binding
GO:0031210,phosphatidylcholine binding
GO:0030674,"protein binding, bridging"
GO:0051861,glycolipid binding
GO:0001882,nucleoside binding
GO:0001530,lipopolysaccharide binding
GO:0008061,chitin binding
GO:2001080,chitosan binding
GO:0032553,ribonucleotide binding
GO:0070279,vitamin B6 binding
GO:0005527,macrolide binding
GO:0019825,oxygen binding
GO:0016594,glycine binding
GO:0016208,AMP binding
GO:0000822,inositol hexakisphosphate binding
GO:0010013,N-1-naphthylphthalamic acid binding
GO:0030975,thiamine binding
GO:0008061,chitin binding
GO:0005542,folic acid binding
GO:0005524,ATP binding
GO:0030276,clathrin binding
GO:0032947,protein-containing complex scaffold activity
GO:0000149,SNARE binding
GO:0010313,phytochrome binding
GO:0140030,modification-dependent protein binding
GO:0043621,protein self-association
GO:0008134,transcription factor binding
GO:0019904,protein domain specific binding
GO:0008022,protein C-terminus binding
GO:0046983,protein dimerization activity
GO:0019955,cytokine binding
GO:0097602,cullin family protein binding
GO:0042393,histone binding
GO:0031072,heat shock protein binding
GO:0044183,protein binding involved in protein folding
GO:0008092,cytoskeletal protein binding
GO:0043495,protein membrane anchor
GO:0030742,GTP-dependent protein binding
GO:0051087,chaperone binding
GO:0031369,translation initiation factor binding
GO:0070678,preprotein binding
GO:0005102,signaling receptor binding
GO:0005484,SNAP receptor activity
GO:0001098,basal transcription machinery binding
GO:0051082,unfolded protein binding
GO:0030674,"protein binding, bridging"
GO:0032182,ubiquitin-like protein binding
GO:0005516,calmodulin binding
GO:0005483,soluble NSF attachment protein activity
GO:0042802,identical protein binding
GO:0051219,phosphoprotein binding
GO:0019899,enzyme binding
GO:0046332,SMAD binding
GO:0010427,abscisic acid binding
GO:0051740,ethylene binding
GO:0010331,gibberellin binding
GO:0017046,peptide hormone binding
GO:0010011,auxin binding
GO:0000166,nucleotide binding
GO:0019825,oxygen binding
GO:0043177,organic acid binding
GO:0048029,monosaccharide binding
GO:0001882,nucleoside binding
GO:0043178,alcohol binding
GO:0019842,vitamin binding
GO:0001530,lipopolysaccharide binding
GO:0005496,steroid binding
GO:0051861,glycolipid binding
GO:0005504,fatty acid binding
GO:0005543,phospholipid binding
GO:0019840,isoprenoid binding
GO:0051740,ethylene binding
GO:0030975,thiamine binding
GO:0030976,thiamine pyrophosphate binding
GO:0043295,glutathione binding
GO:0000062,fatty-acyl-CoA binding
GO:0050825,ice binding
GO:0051536,iron-sulfur cluster binding
GO:0051015,actin filament binding
GO:0070628,proteasome binding
GO:0031491,nucleosome binding
GO:0031683,G-protein beta/gamma-subunit complex binding
GO:0010997,anaphase-promoting complex binding
GO:0043021,ribonucleoprotein complex binding
GO:0031177,phosphopantetheine binding
GO:0005542,folic acid binding
GO:0043295,glutathione binding
GO:0070279,vitamin B6 binding
GO:0030976,thiamine pyrophosphate binding
GO:0046906,tetrapyrrole binding
GO:0005527,macrolide binding
GO:0001882,nucleoside binding
GO:1901265,nucleoside phosphate binding
GO:0043546,molybdopterin cofactor binding
GO:0003676,nucleic acid binding
GO:0030975,thiamine binding
GO:0005542,folic acid binding
GO:0048029,monosaccharide binding
GO:0030247,polysaccharide binding
GO:1990188,euchromatin binding
GO:1990841,promoter-specific chromatin binding
GO:0031490,chromatin DNA binding
GO:0031491,nucleosome binding
GO:0030247,polysaccharide binding
GO:0000062,fatty-acyl-CoA binding
GO:0031177,phosphopantetheine binding
GO:0005542,folic acid binding
GO:0042277,peptide binding
GO:0010013,N-1-naphthylphthalamic acid binding
GO:0000062,fatty-acyl-CoA binding
GO:0043168,anion binding
GO:0043169,cation binding
GO:0015185,gamma-aminobutyric acid transmembrane transporter activity
GO:0015220,choline transmembrane transporter activity
GO:0005313,L-glutamate transmembrane transporter activity
GO:0015604,organic phosphonate transmembrane transporter activity
GO:0015203,polyamine transmembrane transporter activity
GO:1901474,azole transmembrane transporter activity
GO:0022804,active transmembrane transporter activity
GO:0015205,nucleobase transmembrane transporter activity
GO:1901682,sulfur compound transmembrane transporter activity
GO:0051184,cofactor transmembrane transporter activity
GO:0015562,efflux transmembrane transporter activity
GO:0015075,ion transmembrane transporter activity
GO:1901505,carbohydrate derivative transmembrane transporter activity
GO:0042887,amide transmembrane transporter activity
GO:0022803,passive transmembrane transporter activity
GO:0010290,chlorophyll catabolite transmembrane transporter activity
GO:0005342,organic acid transmembrane transporter activity
GO:0017077,oxidative phosphorylation uncoupler activity
GO:0015144,carbohydrate transmembrane transporter activity
GO:0015318,inorganic molecular entity transmembrane transporter activity
GO:0080161,auxin transmembrane transporter activity
GO:0015152,glucose-6-phosphate transmembrane transporter activity
GO:0042910,xenobiotic transmembrane transporter activity
GO:0090482,vitamin transmembrane transporter activity
GO:0015605,organophosphate ester transmembrane transporter activity
GO:0072349,modified amino acid transmembrane transporter activity
GO:0015238,drug transmembrane transporter activity
GO:0015932,nucleobase-containing compound transmembrane transporter activity
GO:0005275,amine transmembrane transporter activity
GO:0071917,triose-phosphate transmembrane transporter activity
GO:0022884,macromolecule transmembrane transporter activity
GO:0008320,protein transmembrane transporter activity
GO:0046624,sphingolipid transporter activity
GO:0015245,fatty acid transmembrane transporter activity
GO:0015125,bile acid transmembrane transporter activity
GO:0005548,phospholipid transporter activity
GO:0005049,nuclear export signal receptor activity
GO:0016531,copper chaperone activity
GO:0000900,"translation repressor activity, mRNA regulatory element binding"
GO:0000900,"translation repressor activity, mRNA regulatory element binding"
GO:0004130,cytochrome-c peroxidase activity
GO:0004096,catalase activity
GO:0016688,L-ascorbate peroxidase activity
GO:0004602,glutathione peroxidase activity
GO:0036338,viral membrane
GO:0019028,viral capsid
GO:0019013,viral nucleocapsid
GO:0009925,basal plasma membrane
GO:0044424,intracellular part
GO:0030313,cell envelope
GO:0031967,organelle envelope
GO:0005886,plasma membrane
GO:0005938,cell cortex
GO:0030312,external encapsulating structure
GO:0044463,cell projection part
GO:0120025,plasma membrane bounded cell projection
GO:0035838,growing cell tip
GO:0009654,photosystem II oxygen evolving complex
GO:0045254,pyruvate dehydrogenase complex
GO:0045240,dihydrolipoyl dehydrogenase complex
GO:0005971,ribonucleoside-diphosphate reductase complex
GO:0045275,respiratory chain complex III
GO:0045272,plasma membrane respiratory chain complex I
GO:0005747,mitochondrial respiratory chain complex I
GO:0045281,succinate dehydrogenase complex
GO:0009331,glycerol-3-phosphate dehydrogenase complex
GO:0005960,glycine cleavage complex
GO:0032155,cell division site part
GO:0000923,equatorial microtubule organizing center
GO:0016324,apical plasma membrane
GO:0009897,external side of plasma membrane
GO:0009930,longitudinal side of cell surface
GO:0016328,lateral plasma membrane
GO:0098590,plasma membrane region
GO:0031226,intrinsic component of plasma membrane
GO:0009897,external side of plasma membrane
GO:0070470,plasma membrane respiratory chain
GO:0009898,cytoplasmic side of plasma membrane
GO:0019897,extrinsic component of plasma membrane
GO:0098797,plasma membrane protein complex
GO:0031256,leading edge membrane
GO:0043667,pollen wall
GO:0005618,cell wall
GO:0042600,chorion
GO:0044462,external encapsulating structure part
GO:0030288,outer membrane-bounded periplasmic space
GO:0019866,organelle inner membrane
GO:0022624,proteasome accessory complex
GO:0030076,light-harvesting complex
GO:0043229,intracellular organelle
GO:0030015,CCR4-NOT core complex
GO:0005839,proteasome core complex
GO:0045273,respiratory chain complex II
GO:0000307,cyclin-dependent protein kinase holoenzyme complex
GO:0032300,mismatch repair complex
GO:0000159,protein phosphatase type 2A complex
GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone)
GO:0030014,CCR4-NOT complex
GO:0045259,proton-transporting ATP synthase complex
GO:0000502,proteasome complex
GO:0008540,"proteasome regulatory particle, base subcomplex"
GO:0044444,cytoplasmic part
GO:0031968,organelle outer membrane
GO:0005845,mRNA cap binding complex
GO:0019773,"proteasome core complex, alpha-subunit complex"
GO:0045267,"proton-transporting ATP synthase, catalytic core"
GO:0033202,DNA helicase complex
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane
GO:0044436,thylakoid part
GO:0009579,thylakoid
GO:0031248,protein acetyltransferase complex
GO:0038201,TOR complex
GO:0045283,fumarate reductase complex
GO:0031371,ubiquitin conjugating enzyme complex
GO:0045275,respiratory chain complex III
GO:0044796,DNA polymerase processivity factor complex
GO:0008541,"proteasome regulatory particle, lid subcomplex"
GO:0009368,endopeptidase Clp complex
GO:0030880,RNA polymerase complex
GO:0005838,proteasome regulatory particle
GO:0009330,DNA topoisomerase complex (ATP-hydrolyzing)
GO:0005956,protein kinase CK2 complex
GO:0032299,ribonuclease H2 complex
GO:0045277,respiratory chain complex IV
GO:0005834,heterotrimeric G-protein complex
GO:0017101,aminoacyl-tRNA synthetase multienzyme complex
GO:0000178,exosome (RNase complex)
GO:0000151,ubiquitin ligase complex
GO:0030289,protein phosphatase 4 complex
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0048476,Holliday junction resolvase complex
GO:0005953,CAAX-protein geranylgeranyltransferase complex
GO:0044446,intracellular organelle part
GO:0005667,transcription factor complex
GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex
GO:0000408,EKC/KEOPS complex
GO:0033588,Elongator holoenzyme complex
GO:0005737,cytoplasm
GO:0070013,intracellular organelle lumen
GO:0030008,TRAPP complex
GO:0034708,methyltransferase complex
GO:0031501,mannosyltransferase complex
GO:0042575,DNA polymerase complex
GO:0005846,nuclear cap binding complex
GO:0045281,succinate dehydrogenase complex
GO:0035838,growing cell tip
GO:0031520,plasma membrane of cell tip
GO:0005905,clathrin-coated pit
GO:0005783,endoplasmic reticulum
GO:0005794,Golgi apparatus
GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network
GO:0005768,endosome
GO:0030904,retromer complex
GO:0005635,nuclear envelope
GO:0030133,transport vesicle
GO:0031256,leading edge membrane
GO:0001726,ruffle
GO:0000159,protein phosphatase type 2A complex
GO:0030289,protein phosphatase 4 complex
GO:0000164,protein phosphatase type 1 complex
GO:0005789,endoplasmic reticulum membrane
GO:0120038,plasma membrane bounded cell projection part
GO:0044459,plasma membrane part
GO:0043668,exine
GO:0070825,micropyle
GO:0009279,cell outer membrane
GO:0044426,cell wall part
GO:0030132,clathrin coat of coated pit
GO:0019031,viral envelope
GO:0019013,viral nucleocapsid
GO:0042406,extrinsic component of endoplasmic reticulum membrane
GO:0008250,oligosaccharyltransferase complex
GO:0000835,ER ubiquitin ligase complex
GO:0031227,intrinsic component of endoplasmic reticulum membrane
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0031502,dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0098553,lumenal side of endoplasmic reticulum membrane
GO:0098554,cytoplasmic side of endoplasmic reticulum membrane
GO:0005787,signal peptidase complex
GO:0036513,Derlin-1 retrotranslocation complex
GO:0009923,fatty acid elongase complex
GO:0030867,rough endoplasmic reticulum membrane
GO:0030117,membrane coat
GO:0031968,organelle outer membrane
GO:0009279,cell outer membrane
GO:0009521,photosystem
GO:0042651,thylakoid membrane
GO:0044459,plasma membrane part
GO:0098857,membrane microdomain
GO:0009925,basal plasma membrane
GO:0016324,apical plasma membrane
GO:0031520,plasma membrane of cell tip
GO:0016323,basolateral plasma membrane
GO:0044853,plasma membrane raft
GO:0031253,cell projection membrane
GO:0005789,endoplasmic reticulum membrane
GO:0044455,mitochondrial membrane part
GO:0070469,respiratory chain
GO:0098589,membrane region
GO:0019898,extrinsic component of membrane
GO:0098552,side of membrane
GO:0005905,clathrin-coated pit
GO:0005789,endoplasmic reticulum membrane
GO:0044453,nuclear membrane part
GO:0031224,intrinsic component of membrane
GO:0044459,plasma membrane part
GO:0098796,membrane protein complex
GO:0031965,nuclear membrane
GO:0019866,organelle inner membrane
GO:0012506,vesicle membrane
GO:0031966,mitochondrial membrane
GO:0031300,intrinsic component of organelle membrane
GO:0031312,extrinsic component of organelle membrane
GO:0098588,bounding membrane of organelle
GO:0042170,plastid membrane
GO:0034045,phagophore assembly site membrane
GO:0005774,vacuolar membrane
GO:0010008,endosome membrane
GO:0030666,endocytic vesicle membrane
GO:0098589,membrane region
GO:0030660,Golgi-associated vesicle membrane
GO:0030658,transport vesicle membrane
GO:0031968,organelle outer membrane
GO:0030662,coated vesicle membrane
GO:0031903,microbody membrane
GO:0032578,aleurone grain membrane
GO:0009547,plastid ribosome
GO:0000314,organellar small ribosomal subunit
GO:0000315,organellar large ribosomal subunit
GO:0005761,mitochondrial ribosome
GO:0071561,nucleus-vacuole junction
GO:0070013,intracellular organelle lumen
GO:0031350,intrinsic component of plastid membrane
GO:0031229,intrinsic component of nuclear inner membrane
GO:0031231,intrinsic component of peroxisomal membrane
GO:0031228,intrinsic component of Golgi membrane
GO:0031301,integral component of organelle membrane
GO:0098573,intrinsic component of mitochondrial membrane
GO:0031984,organelle subcompartment
GO:0044431,Golgi apparatus part
GO:0044437,vacuolar part
GO:0044432,endoplasmic reticulum part
GO:0016035,zeta DNA polymerase complex
GO:0031312,extrinsic component of organelle membrane
GO:0044435,plastid part
GO:0044428,nuclear part
GO:0044438,microbody part
GO:0044429,mitochondrial part
GO:0044427,chromosomal part
GO:0044430,cytoskeletal part
GO:0031970,organelle envelope lumen
GO:0044391,ribosomal subunit
GO:0031967,organelle envelope
GO:0044433,cytoplasmic vesicle part
GO:0098588,bounding membrane of organelle
GO:0042170,plastid membrane
GO:0031312,extrinsic component of organelle membrane
GO:0031300,intrinsic component of organelle membrane
GO:0031966,mitochondrial membrane
GO:0012506,vesicle membrane
GO:0019866,organelle inner membrane
GO:0031965,nuclear membrane
GO:0043232,intracellular non-membrane-bounded organelle
GO:0031984,organelle subcompartment
GO:0031982,vesicle
GO:0031967,organelle envelope
GO:0031090,organelle membrane
GO:0043231,intracellular membrane-bounded organelle
GO:0031514,motile cilium
GO:0000313,organellar ribosome
GO:0044232,organelle membrane contact site
GO:0031300,intrinsic component of organelle membrane
GO:0044446,intracellular organelle part
GO:0031090,organelle membrane
GO:0043233,organelle lumen
GO:0044446,intracellular organelle part
GO:0043232,intracellular non-membrane-bounded organelle
GO:0043231,intracellular membrane-bounded organelle
GO:0097708,intracellular vesicle
GO:0070013,intracellular organelle lumen
GO:1903561,extracellular vesicle
GO:0031012,extracellular matrix
GO:0044420,extracellular matrix component
GO:0005615,extracellular space
GO:0043230,extracellular organelle
GO:0042644,chloroplast nucleoid
GO:0009508,plastid chromosome
GO:0009506,plasmodesma
GO:0005905,clathrin-coated pit
GO:0005886,plasma membrane
GO:0008287,protein serine/threonine phosphatase complex
GO:0030427,site of polarized growth
GO:1990204,oxidoreductase complex
GO:0030904,retromer complex
GO:0030312,external encapsulating structure
GO:0044459,plasma membrane part
GO:0030496,midbody
GO:0044462,external encapsulating structure part
GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network
GO:0044463,cell projection part
GO:0031252,cell leading edge
GO:0032155,cell division site part
GO:0045177,apical part of cell
GO:0032153,cell division site
GO:0019008,molybdopterin synthase complex
GO:0009986,cell surface
GO:0031975,envelope
GO:0071944,cell periphery
GO:0009344,nitrite reductase complex [NAD(P)H]
GO:0042995,cell projection
GO:0009349,riboflavin synthase complex
GO:0045178,basal part of cell
GO:0005622,intracellular
GO:0051286,cell tip
GO:0012505,endomembrane system
GO:0042597,periplasmic space
GO:0044424,intracellular part
GO:0009930,longitudinal side of cell surface
GO:0070013,intracellular organelle lumen
GO:0031229,intrinsic component of nuclear inner membrane
GO:0030132,clathrin coat of coated pit
GO:0008250,oligosaccharyltransferase complex
GO:0042406,extrinsic component of endoplasmic reticulum membrane
GO:0000835,ER ubiquitin ligase complex
GO:0098554,cytoplasmic side of endoplasmic reticulum membrane
GO:0031502,dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0098553,lumenal side of endoplasmic reticulum membrane
GO:0005787,signal peptidase complex
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0031227,intrinsic component of endoplasmic reticulum membrane
GO:0030867,rough endoplasmic reticulum membrane
GO:0009923,fatty acid elongase complex
GO:0036513,Derlin-1 retrotranslocation complex
GO:0098857,membrane microdomain
GO:0098572,stromal side of plastid thylakoid membrane
GO:0009897,external side of plasma membrane
GO:0098553,lumenal side of endoplasmic reticulum membrane
GO:0098562,cytoplasmic side of membrane
GO:0031312,extrinsic component of organelle membrane
GO:0019897,extrinsic component of plasma membrane
GO:0005942,phosphatidylinositol 3-kinase complex
GO:0005746,mitochondrial respiratory chain
GO:0031314,extrinsic component of mitochondrial inner membrane
GO:0098799,outer mitochondrial membrane protein complex
GO:0098800,inner mitochondrial membrane protein complex
GO:0098573,intrinsic component of mitochondrial membrane
GO:0098803,respiratory chain complex
GO:0005746,mitochondrial respiratory chain
GO:0070470,plasma membrane respiratory chain
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
